Vocabulary	Week	Type	Phonetic	Definition	Example	Synonym	Antonym	Vietnamese
crucial	1	adj	/ˈkruː.ʃəl/	extremely important or necessary	Your responsibility has been crucial to the project's success.	vital, important	unimportant	thiết yếu, cốt lõi
agreement	1	noun	/əˈɡrēm(ə)nt/	harmony or accordance in opinion or feeling a position or result of agreeing.	the two officers nodded in agreement		disagreement	sự đồng thuận
throw	1	verb	/THrō/	propel (something) with force through the air by a movement of the arm and hand.	I threw a brick through the window		catch, hold	ném, liệng
intelligent	1	adj	/ɪnˈtelɪdʒənt/	good at learning, understanding and thinking in a logical way about things; showing this ability	He is a intelligent child	smart	Unintelligent	thông minh
undergraduate	1	noun	/ˌʌndəˈɡrædʒuət/	a university or college student who is studying for their first degree	She teaches physics at undergraduate level.			sinh viên đại học
financial	1	adj	/faɪˈnænʃl/	connected with money and finance	Ho Chi Minh City will become a financial center of Asia			tài chính
substantial	1	adj	/səbˈstænʃl/	large in amount, value or importance	He ate a substantial breakfast			đáng kể, lớn
struggle	1	verb	/ˈstrʌɡl/	to try very hard to do something when it is difficult or when there are a lot of problems	life as a struggling artist			vật lộn, cố gắng
charity	1	noun	/ˈtʃærəti/	an organization for helping people in need	My parents always supported charities.			tổ chức từ thiện
charismatic	1	adj	/ˌkærɪzˈmætɪk/	having charisma	the charismatic leader of a religious sect			có sức lôi cuốn
influential	1	adj	/ˌɪnfluˈenʃl/	having a lot of influence on somebody/something	She is one of the most influential figures in local politics			có tầm ảnh hưởng
contrasting	1	adj	/kənˈtræstɪŋ/	very different in style, colour or attitude	The book explores contrasting views of the poet's early work.			tương phản
root	1	noun	/ruːt/	the part of a plant that grows under the ground and takes in water and minerals that it sends to the rest of the plant	Tree roots can cause damage to buildings.			rễ cây, gốc rễ
waste	1	noun	/weɪst/	materials that are no longer needed and are thrown away	household waste			chất thải, lãng phí
effective	1	adj	/ɪˈfektɪv/	producing the result that is wanted or intended; producing a successful result	I admire the effective use of colour in her paintings.			hiệu quả
suburb	1	noun	/ˈsʌbɜːb/	an area where people live that is outside the centre of a city	a suburb of London			vùng ngoại ô
percentage	1	noun	/pəˈsentɪdʒ/	the number, amount or rate of something, expressed as if it is part of a total that is 100; a part or share of a whole	A high percentage of the female staff are part-time workers.			tỉ lệ phần trăm
Schedule	1	noun	/ˈskedʒuːl/	a plan that lists all the work that you have to do and when you must do each thing	We're working to a tight schedule			lịch trình, kế hoạch
correspondent	1	noun	/ˌkɔːrəˈspɑːndənt/	a person who reports news from a particular country or on a particular subject for a newspaper or a television or radio station	She's the BBC's political correspondent			phóng viên
millennial	1	noun	/mɪˈleniəl/	a person who was born between the early 1980s and the late 1990s; a member of Generation Y	Many millennials love technology			thế hệ millennials
blame	1	verb	/bleɪm/	​to think or say that somebody/something is responsible for something bad	I'm being blamed for everything.			đổ lỗi, chỉ trích
apparently	1	adv	/əˈpærəntli/	according to what you have heard or read; according to the way something appears	Apparently, they came here			rõ ràng là, có vẻ như
slightly	1	adv	/ˈslaɪtli/	a little	I have a slightly different version			hơi, một chút
memo	1	noun	/ˈmeməʊ/	an official note from one person to another in the same organization	I never got this memo			thông báo nội bộ
present	1	adj	/ˈpreznt/	(of a person) being in a particular place	I wasn’t present when the doctor examined him.			có mặt, hiện diện
perhaps	1	adv	/pərˈhæps/	possibly	Are you going to come?’ ‘Perhaps. I'll see how I feel.’	maybe		có lẽ, có thể
tend	1	verb	/tend/	tend to do something to be likely to do something or to happen in a particular way because this is what often or usually happens	Women tend to live longer than men.			có xu hướng
productive	1	adj	/prəˈdʌktɪv/	doing or achieving a lot	i had a productive meeting			năng suất, hiệu quả
encourage	1	verb	/ɪnˈkɜːrɪdʒ/	to give somebody support, courage or hope	I was encouraged			khuyến khích
sense	1	noun	/sens/	a feeling about something important	I have a sense that you should come home			cảm giác, ý thức
